Camera_Id,ROI,Direction
4716,"[(1780, 1068), (1352, 699), (1079, 441), (915, 302), (821, 230), (762, 162), (740, 131), (939, 135), (1034, 176), (1164, 215), (1312, 244), (1465, 289), (1654, 334), (1791, 369), (1910, 404), (1908, 1050), (1826, 1057)]",CITY
4798,"[(1098, 1077), (884, 993), (719, 842), (601, 725), (649, 584), (701, 467), (742, 370), (752, 320), (891, 325), (924, 430), (950, 539), (995, 673), (1151, 746), (1286, 808), (1465, 885), (1602, 990), (1249, 1079)]",TELOK BLANGAH
4799,"[(2, 1075), (0, 492), (311, 304), (495, 203), (655, 121), (779, 74), (880, 49), (980, 63), (960, 123), (884, 261), (789, 466), (720, 641), (672, 745), (602, 904), (554, 1026), (531, 1079), (1, 1079)]",SENTOSA
4799,"[(978, 1066), (996, 714), (1012, 399), (1009, 135), (1004, 41), (1106, 14), (1232, 86), (1444, 230), (1611, 346), (1722, 443), (1845, 530), (1910, 601), (1910, 1069), (1111, 1066)]",TELOK BLANGAH
5794,"[(464, 1079), (246, 655), (122, 321), (72, 191), (215, 199), (358, 226), (516, 251), (685, 291), (1005, 358), (1289, 433), (1569, 497), (1779, 554), (1919, 591), (1919, 1075), (1916, 1073), (442, 1075)]",JURONG
5794,"[(1914, 595), (1301, 424), (839, 319), (610, 267), (426, 236), (314, 199), (479, 180), (731, 212), (978, 221), (1206, 229), (1525, 286), (1919, 372), (1916, 385)]",CHANGI
5795,"[(0, 655), (546, 417), (815, 287), (1054, 197), (1236, 143), (1334, 105), (1360, 61), (1401, 41), (1456, 86), (1421, 135), (1238, 271), (1002, 467), (788, 670), (566, 872), (329, 1076), (6, 1070)]",CHANGI
5795,"[(329, 1066), (768, 682), (1141, 327), (1358, 170), (1452, 108), (1452, 57), (1545, 41), (1548, 189), (1580, 342), (1596, 654), (1609, 907), (1611, 1066)]",JURONG
5797,"[(350, 1072), (296, 663), (282, 335), (298, 211), (340, 166), (410, 155), (392, 202), (431, 225), (551, 309), (779, 467), (980, 609), (1595, 1076)]",JURONG
5797,"[(1582, 1066), (446, 238), (402, 158), (459, 136), (499, 147), (518, 208), (669, 244), (1905, 727), (1905, 1064)]",CHANGI
5798,"[(671, 746), (740, 511), (750, 426), (1016, 350), (1391, 251), (1740, 174), (1914, 196), (1618, 301), (1240, 455), (702, 723)]",JURONG
5798,"[(556, 1065), (672, 749), (1119, 504), (1540, 320), (1910, 199), (1910, 349), (965, 1068)]",CHANGI
5799,"[(1, 511), (1126, 211), (1230, 139), (1419, 142), (1410, 236), (1268, 355), (819, 628), (2, 1026)]",JURONG
5799,"[(1, 982), (1135, 426), (1395, 260), (1416, 147), (1584, 140), (1588, 188), (1685, 261), (1795, 434), (1879, 1079), (1, 1073)]",CHANGI
6701,"[(1, 482), (841, 146), (1025, 132), (980, 215), (76, 1079), (2, 1072)]",CHANGI
6701,"[(70, 1069), (765, 376), (998, 189), (1025, 144), (1120, 138), (1128, 199), (1116, 345), (1108, 1068)]",JURONG
6701,"[(1185, 1066), (1102, 267), (1099, 173), (1279, 327), (1812, 945), (1889, 1065)]",TOA PAYOH
6703,"[(291, 1076), (328, 511), (271, 311), (185, 260), (4, 248), (2, 200), (131, 204), (239, 227), (332, 293), (418, 365), (475, 458), (586, 700), (756, 1079)]",THOMSON
