LinkID,Location,MaximumSpeed,MinimumSpeed,RoadCategory,RoadName,SpeedBand,Extract Time
103000858,1.2885670134046823 103.84714396212335 1.2876813975832344 103.8484550719313,39,30,D,CARPENTER STREET,4,"10/15/2022, 06:55:38"
103000859,1.2876813975832344 103.8484550719313 1.2885670134046823 103.84714396212335,29,20,D,CARPENTER STREET,3,"10/15/2022, 06:55:38"
103000862,1.3115598539922761 103.84356326107677 1.3109616270123052 103.8432595670941,999,70,E,HOOPER ROAD,8,"10/15/2022, 06:55:38"
103000863,1.3109616270123052 103.8432595670941 1.3115598539922761 103.84356326107677,999,70,E,HOOPER ROAD,8,"10/15/2022, 06:55:38"
103000864,1.3120101853447135 103.86178507739291 1.3109572673338927 103.86038505459275,39,30,E,HAMILTON ROAD,4,"10/15/2022, 06:55:38"
103000870,1.3109572673338927 103.86038505459275 1.3113764532698613 103.86002491168635,999,70,E,HORNE ROAD,8,"10/15/2022, 06:55:38"
103000871,1.3113764532698613 103.86002491168635 1.3109572673338927 103.86038505459275,29,20,E,HORNE ROAD,3,"10/15/2022, 06:55:38"
103000874,1.338115027636161 103.93370315844263 1.3383570201169084 103.93428755405625,39,30,C,BEDOK RESERVOIR ROAD,4,"10/15/2022, 06:55:38"
103000875,1.3383570201169084 103.93428755405625 1.338115027636161 103.93370315844263,39,30,C,BEDOK RESERVOIR ROAD,4,"10/15/2022, 06:55:38"
103000878,1.3041457908670204 103.82980042827975 1.3031629356028471 103.82935354671685,69,60,E,ANGULLIA PARK,7,"10/15/2022, 06:55:38"
103000879,1.3031629356028471 103.82935354671685 1.3041457908670204 103.82980042827975,69,60,E,ANGULLIA PARK,7,"10/15/2022, 06:55:38"
103000882,1.3031629356028471 103.82935354671685 1.3022836478769049 103.82877814631033,49,40,E,ANGULLIA PARK,5,"10/15/2022, 06:55:38"
103000883,1.3022836478769049 103.82877814631033 1.3031629356028471 103.82935354671685,49,40,E,ANGULLIA PARK,5,"10/15/2022, 06:55:38"
103000886,1.3325819300928987 103.91292220139155 1.3331715249190608 103.91363120796856,39,30,C,BEDOK RESERVOIR ROAD,4,"10/15/2022, 06:55:38"
103000887,1.3331715249190608 103.91363120796856 1.3325819300928987 103.91292220139155,39,30,C,BEDOK RESERVOIR ROAD,4,"10/15/2022, 06:55:38"
103000890,1.3331715249190608 103.91363120796856 1.3340305501607592 103.91398715396191,29,20,C,BEDOK RESERVOIR ROAD,3,"10/15/2022, 06:55:38"
103000891,1.3340305501607592 103.91398715396191 1.3331715249190608 103.91363120796856,39,30,C,BEDOK RESERVOIR ROAD,4,"10/15/2022, 06:55:38"
