Camera_Id,ROI,Direction
1701,"[(5, 716), (136, 636), (314, 541), (499, 441), (660, 361), (835, 279), (973, 220), (1084, 157), (1214, 106), (1331, 91), (1395, 119), (1263, 181), (1153, 244), (991, 345), (807, 450), (579, 604), (11, 1030)]",CITY
1701,"[(19, 1063), (476, 697), (782, 461), (951, 353), (1149, 228), (1300, 145), (1390, 98), (1462, 81), (1509, 58), (1510, 36), (1598, 43), (1612, 110), (1623, 271), (1656, 483), (1752, 1066)]",SLE
1702,"[(115, 1073), (158, 735), (227, 407), (246, 321), (208, 260), (225, 206), (241, 192), (319, 194), (387, 262), (498, 341), (660, 446), (855, 560), (1094, 730), (1484, 986), (1620, 1077), (139, 1078)]",SLE
1702,"[(1611, 1075), (1337, 905), (930, 639), (668, 452), (540, 387), (457, 327), (393, 284), (346, 252), (336, 234), (469, 220), (574, 237), (752, 290), (933, 330), (1114, 379), (1322, 430), (1528, 469), (1766, 519), (1908, 543), (1909, 1077), (1630, 1075)]",CITY
1703,"[(5, 805), (145, 728), (426, 567), (611, 451), (798, 359), (889, 295), (912, 250), (925, 212), (934, 181), (882, 169), (822, 170), (808, 193), (730, 241), (554, 319), (4, 560)]",PIE (CHANGI)
1703,"[(4, 803), (167, 716), (428, 565), (606, 466), (713, 408), (832, 339), (907, 250), (951, 211), (952, 168), (1016, 168), (1050, 200), (1060, 244), (1027, 320), (917, 413), (725, 571), (66, 1071), (13, 1077)]",SLE
1703,"[(31, 1078), (363, 870), (677, 602), (903, 434), (1020, 325), (1059, 275), (1065, 239), (1060, 222), (1162, 220), (1214, 252), (1265, 296), (1333, 400), (1428, 615), (1483, 1075)]",AYE
1703,"[(1912, 677), (1472, 499), (1384, 450), (1333, 409), (1275, 327), (1246, 288), (1200, 250), (1152, 226), (1141, 221), (1188, 174), (1321, 198), (1513, 268), (1724, 394), (1918, 481), (1912, 473)]",PIE (TUAS)
1704,"[(0, 1061), (73, 856), (290, 604), (483, 415), (634, 303), (757, 259), (888, 248), (1014, 243), (1109, 243), (1180, 241), (1266, 249), (1259, 275), (1161, 289), (1090, 306), (1052, 333), (1075, 394), (1132, 465), (1233, 544), (1413, 681), (1625, 834), (1876, 1075), (502, 1079)]",SLE
1704,"[(1880, 1077), (1717, 963), (1338, 627), (1135, 478), (1074, 417), (1031, 365), (1036, 330), (1053, 311), (1085, 291), (1148, 282), (1208, 280), (1251, 273), (1293, 266), (1310, 286), (1366, 299), (1506, 266), (1668, 287), (1916, 359), (1905, 1064)]",AYE
1705,"[(9, 963), (431, 678), (652, 514), (874, 382), (1067, 290), (1230, 215), (1355, 158), (1445, 117), (1519, 90), (1599, 64), (1535, 5), (1206, 22), (889, 38), (679, 83), (294, 141), (108, 203), (1, 217)]",SLE
1705,"[(2, 977), (273, 775), (583, 565), (782, 423), (961, 328), (1134, 246), (1265, 187), (1375, 137), (1471, 100), (1573, 71), (1626, 83), (1666, 308), (1732, 603), (1781, 902), (1846, 1077), (11, 1072)]",CTE
1706,"[(108, 1076), (164, 885), (227, 667), (293, 491), (329, 384), (329, 313), (316, 266), (291, 224), (258, 195), (239, 166), (308, 151), (360, 178), (410, 209), (477, 257), (520, 314), (583, 400), (642, 558), (719, 764), (811, 959), (865, 1077)]",YIO CHU KANG RD
1706,"[(802, 1076), (751, 940), (694, 749), (633, 611), (597, 492), (554, 386), (528, 314), (498, 258), (476, 219), (470, 180), (602, 183), (626, 223), (704, 249), (851, 321), (1055, 439), (1262, 583), (1496, 750), (1798, 939), (1911, 1010), (1908, 1076)]",SLE
1706,"[(1915, 1000), (1652, 835), (1370, 661), (1156, 511), (994, 407), (881, 343), (775, 289), (706, 250), (656, 232), (605, 214), (659, 190), (773, 188), (986, 203), (1209, 251), (1511, 360), (1794, 432), (1917, 476), (1912, 496)]",AYE
1707,"[(417, 1074), (436, 913), (461, 660), (479, 520), (476, 446), (436, 375), (389, 308), (469, 274), (545, 282), (609, 322), (695, 376), (760, 462), (860, 572), (972, 740), (1081, 895), (1217, 1077)]",JALAN BUKIT MERAH
1707,"[(1198, 1078), (1133, 989), (940, 692), (751, 435), (661, 291), (624, 244), (684, 239), (796, 282), (1057, 364), (1324, 492), (1644, 685), (1911, 810), (1904, 1061)]",AYE
1707,"[(1916, 869), (1530, 641), (1272, 499), (1019, 359), (875, 301), (733, 247), (825, 213), (968, 203), (1155, 226), (1336, 243), (1540, 296), (1726, 359), (1914, 407), (1913, 861)]",SLE
1709,"[(87, 1078), (76, 820), (88, 599), (63, 417), (5, 330), (3, 105), (159, 97), (338, 185), (528, 242), (973, 395), (1281, 534), (1760, 746), (1908, 812), (1913, 1072)]",CITY
1709,"[(359, 208), (446, 179), (559, 156), (774, 175), (977, 203), (1256, 245), (1500, 290), (1703, 342), (1918, 395), (1917, 834), (1910, 839), (1425, 603), (1027, 434), (825, 340), (623, 278), (471, 237)]",SLE
1711,"[(12, 1061), (167, 868), (331, 676), (464, 508), (559, 383), (612, 311), (650, 244), (661, 195), (665, 152), (748, 148), (857, 217), (990, 303), (1117, 409), (1343, 583), (1569, 781), (1774, 990), (1882, 1074)]",CITY
1711,"[(1865, 1078), (1654, 878), (1366, 629), (1151, 454), (1020, 353), (895, 259), (856, 227), (973, 228), (1089, 259), (1292, 323), (1447, 383), (1605, 457), (1788, 551), (1915, 609), (1898, 1064)]",SLE
2701,"[(10, 1053), (284, 1008), (521, 962), (867, 838), (1213, 647), (1430, 528), (1617, 435), (1811, 327), (1904, 281), (1911, 15), (1826, 197), (1602, 291), (1334, 387), (1104, 483), (814, 637), (573, 689), (294, 766), (8, 826)]",JOHOR
2701,"[(103, 1060), (331, 985), (632, 896), (902, 787), (1178, 654), (1482, 491), (1673, 386), (1844, 291), (1913, 255), (1908, 457), (1294, 837), (929, 1072), (159, 1070)]",WOODLANDS
2702,"[(1164, 1072), (1108, 988), (1024, 869), (944, 784), (862, 714), (780, 654), (713, 613), (676, 576), (598, 524), (554, 477), (495, 412), (450, 336), (435, 269), (424, 158), (421, 74), (370, 4), (212, 4), (156, 50), (112, 218), (101, 365), (128, 471), (130, 552), (213, 709), (258, 806), (258, 966), (258, 1074)]",BKE
2702,"[(1130, 1073), (1911, 1064), (1799, 964), (1685, 856), (1454, 655), (1360, 574), (1197, 453), (1104, 429), (969, 393), (844, 371), (828, 293), (795, 233), (780, 147), (758, 86), (723, 7), (381, 4), (403, 142), (409, 276), (453, 367), (532, 472), (568, 513), (586, 572), (621, 604), (724, 644), (810, 692), (957, 806), (1078, 922), (1125, 1040), (1138, 1076)]",CAUSEWAY
2703,"[(156, 1075), (335, 830), (509, 573), (628, 406), (705, 302), (764, 218), (780, 160), (765, 136), (732, 126), (695, 120), (652, 118), (597, 122), (512, 143), (341, 164), (151, 231), (0, 302), (0, 1062)]",WOODLANDS
2703,"[(146, 1077), (274, 894), (401, 709), (492, 564), (592, 442), (671, 351), (727, 272), (757, 235), (773, 198), (777, 169), (770, 142), (742, 128), (805, 128), (843, 143), (877, 212), (929, 346), (1007, 560), (1086, 789), (1143, 974), (1195, 1077), (196, 1073)]",PIE JURONG
2703,"[(1192, 1076), (1127, 912), (1043, 695), (974, 501), (931, 389), (894, 284), (866, 195), (834, 144), (816, 131), (904, 75), (1103, 142), (1459, 248), (1772, 392), (1918, 515), (1917, 570), (1911, 563), (1906, 1069)]",PIE CHANGI
2704,"[(446, 1071), (497, 884), (563, 657), (645, 478), (696, 349), (747, 290), (799, 257), (865, 236), (935, 221), (991, 228), (975, 274), (969, 306), (1033, 377), (1187, 495), (1479, 678), (1779, 864), (1900, 967), (1903, 1078)]",WOODLANDS
2705,"[(264, 1071), (287, 833), (368, 600), (392, 414), (448, 251), (468, 109), (477, 18), (634, 16), (689, 96), (816, 166), (1080, 344), (1367, 515), (1699, 676), (1901, 799), (1907, 1069)]",PIE
2705,"[(1917, 840), (1906, 829), (1647, 647), (1344, 490), (1101, 365), (879, 228), (750, 154), (650, 85), (810, 38), (1067, 70), (1259, 118), (1510, 167), (1751, 224), (1908, 268)]",WOODLANDS
