LinkID,Location,MaximumSpeed,MinimumSpeed,RoadCategory,RoadName,SpeedBand,Page
103000072,1.3020478491197238 103.85929118664532 1.3024623974822258 103.85961424505442,59,50,E,MUSCAT STREET,6,1
103000078,1.3479138498233316 103.6923894384768 1.3491170726830268 103.69342360283092,69,60,A,PAN ISLAND EXPRESSWAY,7,1
103000079,1.3491170726830268 103.69342360283092 1.3479138498233316 103.6923894384768,69,60,A,PAN ISLAND EXPRESSWAY,7,1
103000080,1.3436196253925365 103.78499221155269 1.3431444683048892 103.78388724345461,999,70,A,PAN ISLAND EXPRESSWAY,8,1
103000086,1.3009014346769388 103.90150591557894 1.3000155854751687 103.90006277560406,29,20,C,AMBER ROAD,3,1
103000087,1.3000155854751687 103.90006277560406 1.3009014346769388 103.90150591557894,29,20,C,AMBER ROAD,3,1
103000090,1.3795549789334551 103.83982137005759 1.3778764702530613 103.83969577191468,19,10,C,ANG MO KIO AVENUE 4,2,1
103000091,1.3778764702530613 103.83969577191468 1.3795549789334551 103.83982137005759,39,30,C,ANG MO KIO AVENUE 4,4,1
103000094,1.302018104115238 103.82687869301155 1.3025271098303324 103.82774617488765,29,20,E,JALAN TUPAI,3,1
103000095,1.3025271098303324 103.82774617488765 1.302018104115238 103.82687869301155,29,20,E,JALAN TUPAI,3,1
103000098,1.3034535281731428 103.82621354051224 1.302018104115238 103.82687869301155,19,10,D,TOMLINSON ROAD,2,1
103000099,1.302018104115238 103.82687869301155 1.3034535281731428 103.82621354051224,19,10,D,TOMLINSON ROAD,2,1
103000106,1.3185208604394962 103.8497306240015 1.3182839067307601 103.8484896779184,19,10,E,SHREWSBURY ROAD,2,1
103000107,1.3182839067307601 103.8484896779184 1.3185208604394962 103.8497306240015,999,70,E,SHREWSBURY ROAD,8,1
103000110,1.2771369059505562 103.81040355919788 1.277633353991097 103.80909264308315,29,20,D,TELOK BLANGAH HEIGHTS,3,1
103000111,1.277633353991097 103.80909264308315 1.2771369059505562 103.81040355919788,29,20,D,TELOK BLANGAH HEIGHTS,3,1
103000114,1.277633353991097 103.80909264308315 1.2780189431917124 103.80767112662544,29,20,D,TELOK BLANGAH HEIGHTS,3,1
103000115,1.2780189431917124 103.80767112662544 1.277633353991097 103.80909264308315,39,30,D,TELOK BLANGAH HEIGHTS,4,1
103000118,1.2765900388648779 103.81171237266507 1.276042945010033 103.81302172471231,29,20,D,TELOK BLANGAH HEIGHTS,3,1
103000119,1.276042945010033 103.81302172471231 1.2765900388648779 103.81171237266507,39,30,D,TELOK BLANGAH HEIGHTS,4,1
103000122,1.350438528643087 103.69440892471033 1.3517801862142893 103.69536755921838,69,60,A,PAN ISLAND EXPRESSWAY,7,1
103000123,1.3517801862142893 103.69536755921838 1.350438528643087 103.69440892471033,69,60,A,PAN ISLAND EXPRESSWAY,7,1
103000124,1.3022604164237386 103.88515409863628 1.3020018334230383 103.88506135448995,49,40,F,WILKINSON ROAD,5,1
103000128,1.3021332006151927 103.84859614838282 1.3019803247888424 103.84892228360394,29,20,E,WILKIE ROAD,3,1
103000134,1.3023326560971626 103.8192445570385 1.3019259729917443 103.8193666357108,69,60,D,CAMP ROAD,7,1
103000135,1.3019259729917443 103.8193666357108 1.3023326560971626 103.8192445570385,49,40,D,CAMP ROAD,5,1
103000138,1.3019154913408086 103.82562409886084 1.3021005061138486 103.82556786730588,999,70,E,LENGKOK MERAK,8,1
103000139,1.3021005061138486 103.82556786730588 1.3019154913408086 103.82562409886084,19,10,E,LENGKOK MERAK,2,1
103000142,1.30277750949525 103.81714881291575 1.301902777906714 103.81671018445115,29,20,E,TANGLIN WALK,3,1
103000143,1.301902777906714 103.81671018445115 1.30277750949525 103.81714881291575,29,20,E,TANGLIN WALK,3,1
103000146,1.301902777906714 103.81671018445115 1.3020760157371165 103.81636988608547,29,20,E,TANGLIN HILL,3,1
103000147,1.3020760157371165 103.81636988608547 1.301902777906714 103.81671018445115,29,20,E,TANGLIN HILL,3,1
103000148,1.3020505931348514 103.84753501033079 1.3018924565367096 103.84742450630118,29,20,E,SOPHIA ROAD,3,1
103000152,1.3018924565367096 103.84742450630118 1.3020981998994814 103.84735684695016,29,20,E,ADIS ROAD,3,1
103000156,1.3018714301953633 103.84120126880777 1.3024590972915757 103.84059908315483,29,20,B,KRAMAT ROAD,3,1
103000162,1.3223315936500188 103.84782453064221 1.323225112339397 103.84825791705197,49,40,E,AKYAB ROAD,5,1
